,driverId,raceId,age,position,pct_laps_comp,points,grid
8192,55,364,25.15068493150685,10.0,95.55555555555556,0.0,10
8193,163,364,41.0986301369863,11.0,93.33333333333333,0.0,23
8194,158,364,31.572602739726026,12.0,88.88888888888889,0.0,25
8221,95,365,36.038356164383565,1.0,100.0,9.0,12
8222,102,365,29.416438356164385,2.0,100.0,6.0,2
8223,123,365,32.106849315068494,3.0,100.0,4.0,4
8224,117,365,34.49041095890411,4.0,100.0,3.0,5
8225,158,365,31.610958904109587,5.0,100.0,2.0,16
8226,137,365,37.013698630136986,6.0,100.0,1.0,17
8227,133,365,25.421917808219177,7.0,100.0,0.0,3
8228,139,365,27.602739726027398,8.0,98.7012987012987,0.0,25
8229,55,365,25.18904109589041,9.0,98.7012987012987,0.0,11
8230,118,365,34.986301369863014,10.0,98.7012987012987,0.0,9
8231,131,365,26.273972602739725,11.0,98.7012987012987,0.0,8
8232,84,365,30.221917808219178,12.0,97.40259740259741,0.0,15
8233,156,365,32.78630136986301,13.0,94.8051948051948,0.0,19
8260,102,366,29.454794520547946,1.0,100.0,9.0,1
8261,117,366,34.52876712328767,2.0,100.0,6.0,2
8262,95,366,36.07671232876712,3.0,100.0,4.0,6
8263,123,366,32.14520547945205,4.0,100.0,3.0,4
8264,145,366,30.161643835616438,5.0,100.0,2.0,7
8265,118,366,35.02465753424657,6.0,100.0,1.0,10
8266,127,366,26.372602739726027,7.0,97.72727272727273,0.0,9
8267,140,366,32.989041095890414,8.0,97.72727272727273,0.0,15
8268,94,366,28.364383561643837,9.0,97.72727272727273,0.0,14
8269,139,366,27.64109589041096,10.0,97.72727272727273,0.0,13
8270,110,366,30.263013698630136,11.0,97.72727272727273,0.0,18
8271,122,366,26.279452054794522,12.0,97.72727272727273,0.0,19
8272,129,366,31.005479452054793,13.0,97.72727272727273,0.0,26
8273,156,366,32.824657534246576,14.0,95.45454545454545,0.0,21
8274,159,366,30.306849315068494,15.0,93.18181818181817,0.0,25
8275,112,366,35.10958904109589,16.0,88.63636363636364,0.0,11
8299,117,367,34.56712328767123,1.0,100.0,9.0,4
8300,77,367,30.06027397260274,2.0,100.0,6.0,2
8301,123,367,32.18356164383562,3.0,100.0,4.0,6
8302,119,367,35.42465753424658,4.0,100.0,3.0,5
8303,55,367,25.265753424657536,5.0,98.11320754716981,2.0,10
8304,84,367,30.2986301369863,6.0,98.11320754716981,1.0,12
8305,94,367,28.4027397260274,7.0,98.11320754716981,0.0,15
8306,159,367,30.345205479452055,8.0,96.22641509433963,0.0,26
8307,163,367,41.21369863013699,9.0,96.22641509433963,0.0,23
8308,138,367,36.56986301369863,10.0,96.22641509433963,0.0,19
8309,133,367,25.4986301369863,11.0,88.67924528301887,0.0,20
8338,77,368,30.0986301369863,1.0,100.0,9.0,2
8339,117,368,34.605479452054794,2.0,100.0,6.0,4
8340,140,368,33.06575342465754,3.0,100.0,4.0,12
8341,145,368,30.23835616438356,4.0,100.0,3.0,13
8342,94,368,28.44109589041096,5.0,98.59154929577466,2.0,5
8343,156,368,32.9013698630137,6.0,98.59154929577466,1.0,18
8344,138,368,36.608219178082194,7.0,98.59154929577466,0.0,25
8345,84,368,30.336986301369862,8.0,98.59154929577466,0.0,10
8346,112,368,35.18630136986302,9.0,98.59154929577466,0.0,17
8347,127,368,26.44931506849315,10.0,97.1830985915493,0.0,14
8348,105,368,32.775342465753425,11.0,97.1830985915493,0.0,21
8349,159,368,30.383561643835616,12.0,97.1830985915493,0.0,9
8350,163,368,41.25205479452055,13.0,97.1830985915493,0.0,23
8351,131,368,26.389041095890413,14.0,97.1830985915493,0.0,11
8377,102,369,29.55068493150685,1.0,100.0,9.0,1
8378,77,369,30.117808219178084,2.0,100.0,6.0,2
8379,117,369,34.62465753424657,3.0,100.0,4.0,3
8380,55,369,25.323287671232876,4.0,98.63013698630137,3.0,9
8381,119,369,35.48219178082192,5.0,98.63013698630137,2.0,6
8382,112,369,35.205479452054796,6.0,98.63013698630137,1.0,5
8383,110,369,30.35890410958904,7.0,98.63013698630137,0.0,15
8384,137,369,37.14794520547945,8.0,97.26027397260275,0.0,7
8385,118,369,35.12054794520548,9.0,97.26027397260275,0.0,16
8386,156,369,32.92054794520548,10.0,97.26027397260275,0.0,13
8415,145,370,30.315068493150687,1.0,100.0,9.0,6
8416,119,370,35.53972602739726,2.0,100.0,6.0,5
8417,123,370,32.298630136986304,3.0,100.0,4.0,7
8418,137,370,37.205479452054796,4.0,100.0,3.0,11
8419,84,370,30.413698630136988,5.0,98.11320754716981,2.0,13
8420,118,370,35.178082191780824,6.0,98.11320754716981,1.0,25
8421,127,370,26.526027397260275,7.0,98.11320754716981,0.0,20
8422,158,370,31.802739726027397,8.0,98.11320754716981,0.0,24
8423,133,370,25.613698630136987,9.0,98.11320754716981,0.0,15
8424,110,370,30.416438356164385,10.0,96.22641509433963,0.0,16
8454,123,371,32.33698630136986,1.0,100.0,9.0,5
8455,145,371,30.353424657534248,2.0,100.0,6.0,4
8456,119,371,35.57808219178082,3.0,100.0,4.0,6
8457,138,371,36.723287671232875,4.0,100.0,3.0,23
8458,139,371,27.832876712328765,5.0,97.14285714285714,2.0,13
8459,94,371,28.556164383561644,6.0,95.71428571428572,1.0,3
8460,127,371,26.564383561643837,7.0,94.28571428571428,0.0,25
8461,131,371,26.504109589041096,8.0,91.42857142857143,0.0,8
8493,117,372,33.12876712328767,1.0,100.0,9.0,3
8494,77,372,28.621917808219177,2.0,100.0,6.0,4
8495,137,372,35.652054794520545,3.0,100.0,4.0,5
8496,118,372,33.62465753424657,4.0,100.0,3.0,11
8497,105,372,31.2986301369863,5.0,100.0,2.0,6
8498,138,372,35.131506849315066,6.0,98.33333333333333,1.0,10
8499,123,372,30.745205479452054,7.0,98.33333333333333,0.0,7
8500,158,372,30.24931506849315,8.0,98.33333333333333,0.0,15
8501,140,372,31.589041095890412,9.0,95.0,0.0,21
8524,102,373,28.13150684931507,1.0,100.0,9.0,1
8525,117,373,33.205479452054796,2.0,100.0,6.0,2
8526,137,373,35.728767123287675,3.0,98.33333333333333,4.0,3
8527,123,373,30.82191780821918,4.0,98.33333333333333,3.0,8
8528,77,373,28.698630136986303,5.0,98.33333333333333,2.0,5
8529,145,373,28.838356164383562,6.0,98.33333333333333,1.0,4
8530,158,373,30.326027397260273,7.0,98.33333333333333,0.0,7
8531,138,373,35.20821917808219,8.0,98.33333333333333,0.0,12
8532,118,373,33.701369863013696,9.0,96.66666666666667,0.0,14
8533,166,373,32.87123287671233,10.0,96.66666666666667,0.0,13
8534,159,373,28.983561643835618,11.0,96.66666666666667,0.0,18
